iter	RMSE
181	3.961964703
182	3.955210651
183	3.95034634
184	3.945141803
185	3.941746198
186	3.939468793
187	3.9345283
188	3.931200693
189	3.92524679
190	3.924609021
191	3.920460003
192	3.916940656
193	3.91418059
194	3.90782464
195	3.907340444
196	3.904344513
197	3.902377446
198	3.899842576
199	3.899263696
200	3.897946816
201	3.893458107
202	3.889175367
203	3.888857751
204	3.885561519
205	3.885161901
206	3.882694095
207	3.879518024
208	3.876677437
209	3.870445864
210	3.869231417
211	3.866498317
212	3.864913532
213	3.86360489
214	3.861962389
215	3.861374924
216	3.859385858
217	3.853898831
218	3.849522191
219	3.845132625
220	3.840155954
221	3.835691292
222	3.831795041
223	3.827304057
224	3.82533882
225	3.822509805
226	3.818015367
227	3.814684084
228	3.809157601
229	3.804645435
230	3.799687936
231	3.795317923
232	3.789744134
233	3.789562866
234	3.786299135
235	3.785860211
236	3.784388525
237	3.781083086
238	3.777703473
239	3.772937027
240	3.770837763
241	3.769304989
242	3.768632839
243	3.7654346
244	3.761481864
245	3.750394328
246	3.745388923
247	3.74225361
248	3.740678477
249	3.73980572
250	3.736152916
251	3.733599592
252	3.733400928
253	3.731883423
254	3.729746271
255	3.72755418
256	3.72465786
257	3.724311039
258	3.723553931
259	3.719175344
260	3.71727263
261	3.71680776
262	3.714309338
263	3.709766522
264	3.705096411
265	3.70248366
266	3.698795877
267	3.69412839
268	3.691908737
269	3.689424386
270	3.685992184
271	3.683466948
272	3.682154275
273	3.679978955
274	3.677915927
275	3.674524307
276	3.672120039
277	3.67163613
278	3.671319802
279	3.670308094
280	3.66669224
281	3.664753163
282	3.663392124
283	3.660987491
284	3.656674818
285	3.653016214
286	3.650300186
287	3.647827229
288	3.643899055
289	3.638774929
290	3.637845252
291	3.634346887
292	3.631894471
293	3.631598679
294	3.628709715
295	3.627041219
296	3.625316602
297	3.624490362
298	3.623883863
299	3.622381344
300	3.622101815
301	3.619715927
302	3.615954435
303	3.615244101
304	3.612567802
305	3.609057652
306	3.608458502
307	3.607913348
308	3.607389136
309	3.604462279
310	3.602955859
311	3.602693164
312	3.602445244
313	3.600082979
314	3.597033667
315	3.59465804
316	3.594255028
317	3.591343923
318	3.589572759
319	3.587672935
320	3.584895597
321	3.582547006
322	3.581362242
323	3.580412711
324	3.579166354
325	3.57553004
326	3.574846444
327	3.573920124
328	3.573284338
329	3.572947952
330	3.571863739
331	3.570611919
332	3.568640156
333	3.564513553
334	3.557448846
335	3.555269401
336	3.553248586
337	3.550355734
338	3.545867888
339	3.544100639
340	3.538151685
341	3.536486496
342	3.535376999
343	3.533242152
344	3.526922984
345	3.525367432
346	3.523763118
347	3.523241218
348	3.521950401
349	3.521298634
350	3.519116439
351	3.518000657
352	3.517211143
353	3.514744974
354	3.512514005
355	3.509533814
356	3.507169355
357	3.500021315
358	3.497672898
359	3.49552558
360	3.493396541
361	3.492661336
362	3.488430117
363	3.486716705
364	3.485228875
365	3.481090725
366	3.478031332
367	3.475451663
368	3.473551485
369	3.472167111
370	3.470235433
371	3.466521513
372	3.46502938
373	3.462880722
374	3.462455317
375	3.460724954
376	3.457714199
377	3.456480608
378	3.453905434
379	3.452768753
380	3.450318818
381	3.441082413
382	3.439284247
383	3.436309929
384	3.434811627
385	3.433852194
386	3.431477377
387	3.429166244
388	3.427467375
389	3.426011618
390	3.424105572
391	3.422126896
392	3.419943677
393	3.418618995
394	3.416060715
395	3.415294796
396	3.414011703
397	3.4133452
398	3.411742602
399	3.410524741
400	3.408419906
401	3.406762638
402	3.40511878
403	3.403132923
404	3.399706774
405	3.399310869
406	3.39816937
407	3.396901683
408	3.391749962
409	3.390751579
410	3.384434827
411	3.381290224
412	3.379605861
413	3.371777691
414	3.370496867
415	3.370188835
416	3.368907275
417	3.366906507
418	3.363934906
419	3.363768346
420	3.362123974
421	3.359687885
422	3.356215107
423	3.355365064
424	3.353410077
425	3.351605167
426	3.349515169
427	3.345666482
428	3.342642203
429	3.340997756
430	3.339972783
431	3.338999494
432	3.338964875
433	3.337085988
434	3.337047431
435	3.336915659
436	3.334425442
437	3.332990335
438	3.331683981
439	3.33121625
440	3.330822185
441	3.323841033
442	3.32330802
443	3.322798831
444	3.319520811
445	3.316349712
446	3.313899462
447	3.313637054
448	3.311978135
449	3.311807455
450	3.309570635
451	3.306997742
452	3.304307331
453	3.301643175
454	3.300076322
455	3.298817101
456	3.296415391
457	3.294001583
458	3.292274747
459	3.291693956
460	3.289809982
461	3.287423919
462	3.285776623
463	3.283493429
464	3.282068291
465	3.27992105
466	3.279135977
467	3.27452642
468	3.272621249
469	3.270596
470	3.269001899
471	3.266951528
472	3.264867827
473	3.262822276
474	3.260609193
475	3.259942528
476	3.256869625
477	3.255498944
478	3.253516501
479	3.252656461
480	3.250124915
481	3.24940376
482	3.246303129
483	3.2425209
484	3.241025547
485	3.240895865
486	3.239493996
487	3.23865345
488	3.233251962
489	3.230343317
490	3.228170924
491	3.228061017
492	3.226253953
493	3.224399937
494	3.222768431
495	3.222670184
496	3.221609991
497	3.220626763
498	3.219686419
499	3.218155334
500	3.216098721
501	3.213496115
502	3.211574936
503	3.210672725
504	3.20993956
505	3.208164331
506	3.205073825
507	3.204467551
508	3.201554546
509	3.200313243
510	3.199653538
511	3.199102915
512	3.197714277
513	3.1961642
514	3.19533028
515	3.193451956
516	3.192863385
517	3.192226472
518	3.191443148
519	3.189734718
520	3.187928895
521	3.187443959
522	3.18521793
523	3.184061392
524	3.183512611
525	3.182622755
526	3.181893985
527	3.179360235
528	3.177364012
529	3.176991341
530	3.175933444
531	3.173753948
532	3.172180397
533	3.171433452
534	3.169214784
535	3.167998975
536	3.166526417
537	3.164835241
538	3.163361166
539	3.162284783
540	3.16195545
541	3.160639109
542	3.159560239
543	3.159084633
544	3.156264629
545	3.153596918
546	3.152654504
547	3.151922903
548	3.150859511
549	3.149643199
550	3.14838444
551	3.148326075
552	3.146976079
553	3.145874779
554	3.140993945
555	3.138901398
556	3.137857343
557	3.136286711
558	3.136022865
559	3.13596689
560	3.133997273
561	3.13394236
562	3.131971081
563	3.130543987
564	3.130490713
565	3.130438881
566	3.129970424
567	3.129509916
568	3.126555383
569	3.125035852
570	3.122458816
571	3.120644721
572	3.118567057
573	3.117597112
574	3.1162324
575	3.115227289
576	3.11511085
577	3.113137563
578	3.111945929
579	3.110707848
580	3.109520125
581	3.108850753
582	3.108818898
583	3.10713758
584	3.106296723
585	3.105885119
586	3.105043418
587	3.103337507
588	3.101572061
589	3.099780287
590	3.098653961
591	3.098506213
592	3.09788316
593	3.096595531
594	3.096081957
595	3.0952586
596	3.094198211
597	3.092352453
598	3.092311884
599	3.090740548
600	3.089686469
601	3.088940835
602	3.086872984
603	3.085783417
604	3.081995513
605	3.081329457
606	3.079308992
607	3.078648252
608	3.077434046
609	3.076992805
610	3.076483078
611	3.075045848
612	3.073901791
613	3.070665016
614	3.069208574
615	3.068426223
616	3.067207219
617	3.066333399
618	3.065112683
619	3.063791428
620	3.062668134
621	3.062371846
622	3.061203155
623	3.060995335
624	3.059626401
625	3.057557833
626	3.056160312
627	3.054962508
628	3.054289861
629	3.054262146
630	3.053241188
631	3.051977156
632	3.051624189
633	3.051203518
634	3.051141489
